序号,名称,播放,弹幕数,收藏,硬币,是否完结,评分(默认0分),评分人数(人数不足为0人)
1680,你好七叶 第二季,204707,5107,3299,245,1,0.0,0
1685,荔枝DE光之俱乐部,182736,5463,3102,33,1,0.0,0
1687,萌菌物语 Returns,705877,20334,31090,574,1,0.0,0
1688,战斗之魂 第七季,1271207,9452,19936,549,1,0.0,0
1689,那年那兔那些事儿 第一季,37427748,574983,1124230,301557,1,9.4,1710
1691,侦探歌剧 少女福尔摩斯,103127,43433,5711,206,1,0.0,0
1692,侦探歌剧 少女福尔摩斯 第二幕,539036,16313,40970,1559,1,0.0,0
1693,两个人是少女福尔摩斯,310561,13824,17609,232,1,0.0,0
1695,纸箱战机 第一部,155891,5978,5733,23,1,0.0,0
1698,PUNKISS！2次元,328145,9217,8005,202,1,0.0,0
1699,四月是你的谎言,54303737,1812395,3099651,112518,1,9.6,6072
1700,王牌御史,19664057,438352,412117,17310,1,8.8,445
1703,吃饭睡觉打豆豆,664618,10490,9368,2729,1,0.0,0
1705,攻壳机动队 S.A.C. Solid State Society,290409,46616,25138,381,1,0.0,0
1709,Heart Catch 光之美少女!,406877,16273,52765,396,1,0.0,0
1710,DokiDoki! 光之美少女,720597,14548,64229,1038,1,0.0,0
1711,HappinessCharge光之美少女！,1084730,9969,56684,829,1,0.0,0
1712,攻壳机动队 笑面男,146584,46645,1756,111,1,0.0,0
1714,攻壳机动队 个别的十一人,81019,48470,953,77,1,0.0,0
1715,虫师,4306227,396861,231079,7767,1,9.8,1624
1717,游☆戏☆王 5D's 第一季,3664927,47401,246677,2562,1,9.7,535
1718,游☆戏☆王 5D's 第二季,0,12521,0,0,1,9.5,107
1719,游☆戏☆王 5D's 第四季,0,13064,0,0,1,9.6,202
1720,游☆戏☆王 5D's 第三季,0,12537,0,0,1,9.5,105
1721,游☆戏☆王 5D's OVA 进化的决斗！星尘龙 VS 真红魔龙,0,6543,0,0,1,0.0,0
1722,BUDDY COMPLEX,1065037,76359,75379,1061,1,9.3,226
1723,变形金刚 领袖之证 美版第一季,1253813,18648,111012,800,1,0.0,0
1724,变形金刚 领袖之证 美版第二季,136702,4890,2444,19,1,0.0,0
1725,变形金刚 领袖之证 日版,67870,2369,2333,11,1,0.0,0
1726,我的战斗,453831,2676,7077,105,1,0.0,0
1727,迷你偶像 2期,2247331,9135,17807,1009,1,0.0,0
1728,史上最强弟子兼一,1107549,36215,47776,902,1,9.7,119
1730,团地友夫,312533,1833,23901,908,1,0.0,0
1731,VIVIDRED OPERATION,72909,32070,5725,317,1,9.4,149
1732,幻想嘉年华,6536984,414692,359228,16525,1,9.6,2190
1733,罗小黑战记,42074972,1220666,709374,149410,0,9.8,8418
1738,英国一家 吃在日本,2609898,48449,75974,1688,1,0.0,0
1739,昭和物语,85068,18931,3510,104,1,0.0,0
1749,马达加斯加的企鹅 第一季,987560,40515,24205,561,1,0.0,0
1750,马达加斯加的企鹅 第二季,515888,15784,11200,297,1,0.0,0
1751,究极KERORO 奇迹的时空岛,39517,5780,1645,29,1,0.0,0
1757,很帅很可爱宣言,163852,9188,2171,74,1,0.0,0
1758,星系保卫战,29093,1034,1229,7,1,0.0,0
1759,文学少女,0,71651,0,0,1,9.0,108
1763,玻璃假面,157589,9805,15333,309,1,0.0,0
1764,虽然是玻璃假面 2013版,197251,1779,3634,87,1,0.0,0
1765,机巧魔神,616921,48364,21760,725,1,0.0,0
1767,重金属摇滚双面人,196187,8611,10733,219,1,0.0,0
1768,魔角侦探 第一季,853105,93639,135810,2299,1,9.5,318
1769,魔角侦探 第二季,576369,47422,101469,1278,1,9.6,265
1773,寒蝉鸣泣之时 解,2714895,131511,342239,4611,1,9.6,879
1774,寒蝉鸣泣之时 礼,489502,58145,82096,1115,1,9.6,134
1775,寒蝉鸣泣之时 煌,470287,50417,54848,783,1,9.5,123
1776,斗牌传说,508852,15573,18653,352,1,0.0,0
1777,IGPX,25826,1782,236,4,1,0.0,0
1778,CANVAS2 七彩的素描,208467,33289,12989,206,1,0.0,0
1779,银盘万花筒,159418,25617,3824,152,1,0.0,0
1781,极速方程式,106417,3675,4443,98,1,0.0,0
1782,到另一个你的身边去,137451,25755,5574,188,1,0.0,0
1786,柔和三国志冲刺!!吕布子,79698,5717,2601,46,1,0.0,0
1787,杀戮公主,161519,43902,5905,405,1,8.6,105
1789,CANDY BOY,634090,45767,24292,1619,1,9.7,246
1792,再见绝望先生,1067942,151504,43486,1614,1,9.6,368
1793,俗・再见绝望先生,467949,37158,25918,739,1,9.6,166
1794,忏・再见绝望先生,360392,33854,21307,693,1,9.6,165
1796,太昊伏羲,42171,3143,1302,39,1,0.0,0
1797,超蛙战士,88562,5851,1934,49,1,0.0,0
1798,抗日英雄杨来西,94712,1035,11332,105,1,0.0,0
1800,蓝猫龙骑团 希望家园,52477,2344,830,21,1,0.0,0
1801,蓝猫龙骑团 TV,188520,9833,23217,169,1,0.0,0
1802,后羿射日,33581,397,1457,15,1,0.0,0
1803,拯救侏罗纪,12750,922,794,7,1,0.0,0
1804,蔬果王国历险记,12859,341,258,5,1,0.0,0
1805,太空堡垒 第一季,149026,7957,3669,80,1,0.0,0
1806,太空堡垒 第二季,45750,1698,268,9,1,0.0,0
1807,太空堡垒 第三季,58460,1840,352,9,1,0.0,0
1811,地上最强新娘,575021,46725,29626,602,1,0.0,0
1813,牙-KIBA,102242,11028,4885,76,1,0.0,0
1816,AIR,2421806,390793,133251,5295,1,9.5,949
1817,蓝猫淘气3000问 幽默舞台,212694,14022,17715,408,1,0.0,0
1818,蓝猫淘气3000问 恐龙时代,191744,7276,20613,353,1,0.0,0
1819,蓝猫淘气3000问 星际大战,142346,5842,17542,421,1,0.0,0
1820,蓝猫淘气3000问 海洋世界,42164,3418,1667,99,1,0.0,0
1821,蓝猫淘气3000问 运动系列,30140,3598,1331,29,1,0.0,0
1822,蓝猫淘气3000问 太空历险,111978,5532,14575,263,1,0.0,0
1823,勇者王GAOGAIGAR,265640,9772,14835,225,1,0.0,0
1829,魔豆传奇,335534,26205,34959,507,1,9.5,113
1830,变形金刚 银河之力,167005,4841,6342,56,1,0.0,0
1832,帕塔利洛西游记,196891,10659,14976,185,1,0.0,0
1833,新释·真田十勇士,26140,3054,387,9,1,0.0,0
1835,魔兵传奇,870565,37069,78117,1121,1,9.7,238
1836,武器种族传说,757699,93808,30733,1131,1,9.4,146
1837,机兽起源,208051,9790,8168,122,1,0.0,0
1839,LOVELESS,701126,147363,50804,734,1,0.0,0
1840,我的主人爱作怪,618766,71306,15852,620,1,0.0,0
1841,机动新撰组 萌之剑,35707,5720,226,21,1,0.0,0
1842,麟光之翼,33662,2924,629,11,1,0.0,0
1843,凉风,127928,45391,12422,317,1,0.0,0
1844,不可思议的教室,407517,42441,18242,539,1,0.0,0
1845,快乐七人组,23634,3940,637,10,1,0.0,0
1846,波子汽水,126573,30505,1317,58,1,0.0,0
1847,增血鬼果林,117849,10805,9379,126,1,0.0,0
1848,曙光少女,33522,5325,806,20,1,0.0,0
1849,出云战记,104562,16028,1758,36,1,0.0,0
1850,天使心,52038,7936,2891,110,1,0.0,0
1851,王牌鉴定人,61254,9374,529,39,1,0.0,0
1852,人机续篇,47616,10083,1850,29,1,0.0,0
1853,星舰驾驶员,55363,8488,2203,62,1,0.0,0
1854,异度传说,110324,16607,1604,47,1,0.0,0
1855,甲贺忍法帖,1046264,67693,42431,1308,1,9.6,395
1856,草莓棉花糖,658818,69209,40197,1256,1,9.5,216
1857,鸦KARAS,678232,84606,21423,1769,1,9.7,295
1858,神是中学生,143850,20747,15248,317,1,0.0,0
1859,极上学生会,86276,10190,8097,106,1,0.0,0
1860,老婆是魔法少女,85599,23462,1135,72,1,0.0,0
1861,UG☆极限女孩,55665,9919,2183,40,1,0.0,0
1862,枪心剑刃,176743,17008,9054,139,1,0.0,0
1863,草莓100%,428185,45572,20370,363,1,0.0,0
1864,心动的日子,18464,29804,2236,47,1,0.0,0
1867,苍穹之法芙娜,509132,45690,30319,442,1,9.4,152
1868,微笑的闪士,190403,12260,6371,144,1,0.0,0
1869,混沌武士,1778750,149551,103639,4649,1,9.7,1335
1872,神无月的巫女,155702,130838,18137,324,1,9.5,351
1873,库拉乌幻之记忆,112138,17039,5494,204,1,0.0,0
1874,诗∽片,72758,18099,1145,32,1,0.0,0
1875,人鱼的旋律,455931,45497,26425,220,1,0.0,0
1876,人鱼的旋律Pure,199708,16476,10168,78,1,0.0,0
1878,吟游默示录,179301,45032,9853,90,1,0.0,0
1879,吟游默示录 wieder,54171,13017,2530,19,1,0.0,0
1880,公主时间,245796,40297,4191,129,1,0.0,0
1881,拳王创世纪1 日美决战篇,15751,1274,89,5,1,0.0,0
1882,遥远时空中 八叶抄,219734,38589,13645,196,1,0.0,0
1883,遥远时空中 紫阳花物语,37260,6830,575,8,1,0.0,0
1884,遥远时空中 舞一夜,36915,9651,994,88,1,0.0,0
1886,砂和尚,100279,10314,4918,125,1,0.0,0
1887,日式面包王,1432519,40152,92424,1447,1,0.0,0
1888,次元舰队,323841,11470,23476,312,1,0.0,0
1889,奇幻旅程,28805,6454,2127,53,1,0.0,0
1890,岩窟王,228855,23065,27006,268,1,0.0,0
1891,风-心之呼吸-,87833,8912,2225,44,1,0.0,0
1892,女生万岁 first season,209346,36697,4659,95,1,0.0,0
1894,DEARS 亲爱一族,221508,25347,6021,199,1,0.0,0
1895,御伽草子,105402,18817,7240,124,1,0.0,0
1896,仙境传说,172752,15410,10690,84,1,0.0,0
1899,老师的时间,40916,2358,4611,66,1,0.0,0
1900,忘却的旋律,74063,12217,1692,48,1,0.0,0
1901,恋风,274613,27169,21803,536,1,0.0,0
1902,玛德莱克丝,154035,20450,14615,272,1,0.0,0
1903,火鸟,129889,11174,9031,137,1,0.0,0
1904,陆奥圆明流外传 修罗之刻,67918,3748,4725,93,1,0.0,0
1905,爱你宝贝,161602,13568,9759,283,1,0.0,0
1907,苏生龙王传说,162597,5934,21612,241,1,0.0,0
1908,七武士,145781,14242,7276,138,1,0.0,0
1909,MONSTER,2382304,114478,190039,3258,1,9.7,419
1910,怪医黑杰克 前作,1059765,45842,140129,1452,1,9.6,174
1912,向北,42744,11749,603,32,1,0.0,0
1913,极道鲜师,119072,9817,4301,146,1,0.0,0
1914,战区88,40559,4580,2186,32,1,0.0,0
1916,光与水的女神,68701,9804,1835,53,1,0.0,0
1917,妄想代理人,683406,103694,37540,1156,1,9.5,283
1920,月咏-MOON PHASE-,166038,18103,12738,202,1,0.0,0
1921,爱丽丝学园,774686,68805,58205,930,1,9.6,177
1922,舞-HIME,61342,24233,3892,155,1,9.2,113
1923,天上天下,504005,45874,12966,489,1,0.0,0
1924,BECK,216585,15220,21358,346,1,0.0,0
1925,爱情泡泡糖,351873,46910,11207,307,1,0.0,0
1926,绚烂舞踏祭,20536,6949,119,34,1,0.0,0
1927,落叶,62964,15864,1617,297,1,0.0,0
1928,小魔女蒙娜,220771,36153,8087,359,1,9.7,108
1929,阴阳大战记,138281,9999,9484,94,1,0.0,0
1933,交涉人勇午,59038,13049,1459,80,1,0.0,0
1934,风人物语,69556,20972,3617,156,1,0.0,0
1936,酷伊忍者传,27512,4493,2178,33,1,0.0,0
1937,双恋,293092,42965,17626,261,1,0.0,0
1938,双恋 Alternative,133559,14878,9029,293,1,0.0,0
1940,To Heart,84822,13870,4655,92,1,0.0,0
1941,To Heart 回忆永恒,24464,3979,1261,27,1,0.0,0
1942,银河天使,63012,9912,1984,37,1,0.0,0
1943,银河天使Z,16464,2120,978,11,1,0.0,0
1944,银河天使A/AA/S,27684,2271,2607,30,1,0.0,0
1945,银河天使X,19056,2641,1705,20,1,0.0,0
1946,十兵卫 心形眼罩的秘密,57753,7182,4963,69,1,0.0,0
1947,十兵卫2 西伯利亚柳生的反击,69734,4646,5666,78,1,0.0,0
1948,超重神GRAVION,187390,10448,3438,52,1,0.0,0
1949,超重神GRAVION Zwei,105596,4847,2265,29,1,0.0,0
1950,铁人28号,79863,2433,689,22,1,0.0,0
1951,太阳的使者 铁人28号,18164,1759,122,7,1,0.0,0
1952,超电动机器人 铁人28号FX,17973,705,57,9,1,0.0,0
1953,铁人28号,20202,778,315,23,1,0.0,0
1954,铁人28号 白昼之残月,9094,613,55,9,1,0.0,0
1957,灌篮少年,286260,10810,4862,113,1,0.0,0
1959,骇客时空  黄昏的腕轮传说,17287,7270,374,27,1,0.0,0
1961,暗与帽子与书之旅人,162583,24977,13094,193,1,0.0,0
1963,新撰组异闻录 铁,560042,69874,39999,689,1,9.5,105
1964,京极夏彦 巷说百物语,367367,64891,11385,373,1,0.0,0
1965,人鱼之森,171713,18719,12659,288,1,0.0,0
1966,战争程序员白濑,86037,7738,4017,78,1,0.0,0
1967,读或死 TV,60782,22550,3139,181,1,9.3,117
1968,读或死 OVA,12344,7116,259,115,1,0.0,0
1970,高桥留美子剧场,50283,7390,3248,89,1,0.0,0
1971,拜托了！双子星,74081,14257,4321,139,1,0.0,0
1972,人生交叉点-HUMAN SCRAMBLE-,61511,15161,2357,148,1,0.0,0
1973,兽兵卫忍风帖 龙宝玉篇,164086,14822,4829,101,1,0.0,0
1975,四圣兽 ～圣兽降临篇～,70963,7695,3222,28,1,0.0,0
1976,四圣兽 ～几千个昼与夜篇～,68768,3890,2841,21,1,0.0,0
1977,四圣兽 光阴叙事诗天使谭,148226,8817,10381,42,1,0.0,0
1978,成惠的世界,51671,9989,2487,63,1,0.0,0
1979,钢铁守护者,44704,5794,968,30,1,0.0,0
1981,妄想科学美少女,32715,6482,343,11,1,0.0,0
1982,索尼克,174942,8068,24894,409,1,0.0,0
1983,真月谭月姬,717094,91913,36821,1151,1,7.1,266
1984,机魂末世录,0,8139,0,0,1,0.0,0
1985,宇宙星路,49335,5110,2677,102,1,0.0,0
1987,变形金刚：微型传说,84470,3612,5719,45,1,0.0,0
1988,王室近卫队,21512,5187,607,30,1,0.0,0
1989,鼠辈怪盗,254699,26085,2953,109,1,0.0,0
1990,高机动幻想～新结行军歌～,85682,8801,2436,69,1,0.0,0
1991,星空防卫队,38927,6515,438,12,1,0.0,0
1992,明日的娜嘉,80993,7348,7613,102,1,0.0,0
1993,神魂合体GODANNAR！！,70388,4537,4032,33,1,0.0,0
1994,铳墓,427354,54729,18035,537,1,9.3,115
1995,百变之星,74304,19379,5140,197,1,0.0,0
1996,星空清理者,399500,47495,25968,816,1,9.5,234
1998,爱的魔法,989740,99716,33700,936,1,9.0,105
2004,夏娃的时间 剧场版,235223,44837,4390,551,1,9.3,171
2005,你所期望的永远,282548,29994,22777,402,1,0.0,0
2006,钟之音学院,159633,25916,766,82,1,0.0,0
2007,变身侦探,33030,3666,543,11,1,0.0,0
2008,瓶诘妖精,83256,24168,4183,167,1,0.0,0
2009,萌娘商社,21511,10667,0,3,1,0.0,0
2012,天使怪盗,412273,40748,27026,483,1,0.0,0
2013,奇诺之旅,913599,151683,35964,1750,1,9.7,553
2014,最终流放,377750,59377,23188,508,1,9.5,117
2018,青出于蓝,491936,44246,26841,689,1,0.0,0
2019,青出于蓝～缘～,145750,13376,764,150,1,0.0,0
2020,返乡战士,69597,4156,4368,60,1,0.0,0
2021,寻找满月,501514,46572,18796,612,1,0.0,0
2024,陆上防卫队,3245,2309,80,9,1,0.0,0
2025,鬼眼狂刀,426784,45962,11961,210,1,0.0,0
2026,驭龙少年,173174,10075,7201,124,1,0.0,0
2027,野狼前锋,93231,3220,1864,39,1,0.0,0
2028,魔女猎人罗宾,170746,25968,9512,140,1,0.0,0
2029,最终兵器彼女,298531,30138,20012,354,1,0.0,0
2030,萩萩公主,209366,22417,18832,291,1,0.0,0
2031,铁胆火车侠 第一季,196635,17568,8386,127,1,0.0,0
2032,铁胆火车侠 第二季,68979,4422,1098,18,1,0.0,0
2033,越狱兔 第1季,984765,50655,27433,1479,1,0.0,0
2034,越狱兔 前传,5645635,63614,10421,2101,1,9.5,143
2035,东京地下城,84299,12229,1112,31,1,0.0,0
2036,骇客时空,56357,11751,1673,102,1,0.0,0
2038,我们这一家 第一期,1978585,31196,72773,1185,1,0.0,0
2039,我们这一家 剧场版,91576,8010,3341,155,1,0.0,0
2040,东京猫猫,742639,52443,65987,486,1,0.0,0
2042,天使的小生意气,194506,9755,19196,315,1,0.0,0
2043,安倍桥魔法☆商店街,52304,6752,2712,93,1,0.0,0
2044,水瓶新世纪,23613,4678,350,9,1,0.0,0
2049,奇钢仙女楼兰,48948,6013,586,15,1,0.0,0
2056,钢铁侦探J,35075,5651,2695,42,1,0.0,0
2057,阿波特战记五九,49836,4174,2685,58,1,0.0,0
2058,钢琴恋曲,12906,4656,239,6,1,0.0,0
2059,天使特警,132580,17264,4640,85,1,0.0,0
2060,天使特警2,0,4955,0,0,1,0.0,0
2061,人形电脑天使心,2440641,241993,270622,6147,1,9.7,831
2062,欢乐课程,250113,36832,5543,188,1,0.0,0
2068,拜托了！老师,248213,46010,11368,346,1,8.9,107
2069,十二国记,986558,96969,57009,2369,1,9.7,625
2070,推理之绊,372441,56610,12862,221,1,0.0,0
2071,盗贼王Jing,72942,7879,2455,69,1,0.0,0
2073,闪灵二人组,155960,31791,9292,246,1,0.0,0
2074,灰羽联盟,189967,37287,8864,319,1,0.0,0
2075,迷糊天使,89717,13539,5318,84,1,0.0,0
2078,炎之蜃气楼,315921,81262,16668,323,1,0.0,0
2079,翼神传说,208793,20301,12629,246,1,0.0,0
2081,真・女神转生 魔力宝贝,153825,7283,6042,107,1,0.0,0
2083,白色猎人 第一季,214752,42801,4624,55,1,0.0,0
2084,白色猎人 第二季,64972,16644,749,12,1,0.0,0
2085,Di Gi Charat,35664,8656,576,36,1,0.0,0
2086,Di Gi Charat Panyo Panyo,13641,2068,371,20,1,0.0,0
2087,DI GI CHARAT Nyo,61820,2565,1948,100,1,0.0,0
2088,战斗陀螺 第一季,227906,9682,14002,169,1,0.0,0
2089,战斗陀螺 第二季,91620,2697,1896,28,1,0.0,0
2090,战斗陀螺 剧场版,29917,1357,339,8,1,0.0,0
2091,热带雨林的爆笑生活,1092402,58988,69071,1445,1,9.6,212
2092,热带雨林的爆笑生活 DELUXE,323481,12339,10783,524,1,0.0,0
2093,热带雨林的爆笑生活 FINAL,229654,10996,8788,349,1,0.0,0
2094,天使的尾巴,107223,14072,4750,99,1,0.0,0
2096,辣妹当家,82872,7546,1890,40,1,0.0,0
2097,七虹香电击大作战,40296,4294,1387,17,1,0.0,0
2098,X战记,159659,51730,11815,379,1,0.0,0
2099,X战记 剧场版,73552,10657,3263,47,1,0.0,0
2100,圣石小子,144188,15880,8595,79,1,0.0,0
2102,星之卡比,210645,8812,17891,155,1,0.0,0
2103,魔法少女猫,31387,6161,382,7,1,0.0,0
2104,青春草莓蛋,101469,10097,7431,254,1,0.0,0
2105,超能奇兵,107340,8022,6163,155,1,0.0,0
2107,狂野禁区,39727,2875,1277,29,1,0.0,0
2111,黑街二人组,491052,64008,39992,876,1,9.6,122
2112,新白雪姬传说,276384,36223,9568,143,1,0.0,0
2119,小小雪精灵,79253,4853,2709,155,1,0.0,0
2120,激斗战车（粤语）,110553,2505,4010,42,1,0.0,0
2125,天使领域,120568,15291,7801,95,1,0.0,0
2128,妹妹公主,1002596,96149,47362,1155,1,0.0,0
2129,妹妹公主 RePure,0,22030,0,0,1,0.0,0
2130,HELLSING,1308044,170970,32048,872,1,9.4,291
2131,HELLSING OVA,3315509,117637,185941,6257,1,9.7,1220
2132,漫画同人会,38258,7522,1225,43,1,0.0,0
2133,漫画同人会 OVA,7057,1190,51,5,1,0.0,0
2134,漫画同人会 Revolution,13734,2012,784,11,1,0.0,0
2135,钢铁天使核桃,65763,7718,1928,40,1,0.0,0
2136,钢铁天使核桃 第二季,21977,2201,1651,19,1,0.0,0
2137,足球小将 83版,651323,18713,46485,355,1,0.0,0
2139,足球小将 平成版,266383,8311,5718,111,1,0.0,0
2140,巴比伦二世,24370,2057,81,9,1,0.0,0
2141,新巴比伦二世,48312,4287,141,6,1,0.0,0
2142,袖珍女仆小梅,127287,16076,4283,126,1,0.0,0
2143,GEAR战士电童,74022,3155,5506,91,1,0.0,0
2144,最游记,1088043,93397,101855,1133,1,0.0,0
2145,最游记RELOAD,243838,18150,29666,220,1,0.0,0
2146,最游记 RELOAD GUNLOCK,222456,17349,25143,148,1,0.0,0
2147,最游记外传,288646,11669,20916,436,1,0.0,0
2148,最游记RELOAD 埋葬篇,103079,10703,8150,172,1,0.0,0
2150,幻影死神,68343,6881,1844,21,1,0.0,0
2151,随风飘的月影兰,0,11856,0,0,1,0.0,0
2152,梦幻妖子,56278,13504,2063,44,1,0.0,0
2153,我家也有外星人,103880,19767,2943,127,1,0.0,0
2154,奇异的破晓,30333,6414,1441,25,1,0.0,0
2156,无敌王,22526,1184,132,11,1,0.0,0
2158,人造人间Kikaider,26034,2681,1068,44,1,0.0,0
2159,万有引力,839733,57345,62875,469,1,0.0,0
2160,X战警：进化,200100,13536,7926,94,1,0.0,0
2161,银河冒险战记,217205,13060,6865,193,1,0.0,0
2162,银河冒险战记 the second stage,0,4317,0,0,1,0.0,0
2163,星界的战旗 星界的纹章,102863,5604,6158,186,1,0.0,0
2164,星界的战旗 TV版 星界的战旗I,0,2381,0,0,1,0.0,0
2165,星界的战旗TV版 星界的战旗II,0,1454,0,0,1,0.0,0
2166,星界的战旗 星界的战旗III,0,1397,0,0,1,0.0,0
2167,女神候补生,102062,10453,1198,27,1,0.0,0
2168,沉默的未知,123921,33698,4782,120,1,0.0,0
2169,我为歌狂,850477,44991,127687,3275,1,9.4,219
2170,最后的吸血鬼,266597,40680,5064,371,1,0.0,0
2171,学校怪谈,282393,25736,19615,243,1,0.0,0
2174,南方公园 第三季,1078730,77458,22181,693,1,9.8,111
2175,南方公园 第四季,1136977,31891,42879,1297,1,0.0,0
2176,南方公园 第五季,1205234,32726,50298,1319,1,0.0,0
2177,南方公园 第六季,1045720,27381,40179,1308,1,0.0,0
2179,南方公园 第八季,1033259,26762,69797,1179,1,0.0,0
2180,南方公园 第九季,956428,26092,46681,1146,1,0.0,0
2181,南方公园 第十季,1011628,26956,43025,951,1,0.0,0
2182,南方公园 第十一季,991351,25928,49534,906,1,0.0,0
2184,南方公园 第十三季,1064684,26171,45725,1021,1,0.0,0
2185,南方公园 第十四季,1138436,33145,37522,1202,1,0.0,0
2187,南方公园 第十六季,614109,26779,12752,450,1,0.0,0
2188,南方公园 第十七季,2401592,31349,44817,1144,1,0.0,0
2193,南方公园 第十八季,4988340,66171,47722,4823,1,9.8,163
2194,恐怖宠物店,765299,106456,39957,1305,1,9.7,336
2197,六翼天使之声,17725,5443,547,4,1,0.0,0
2199,傀儡师左近,146464,12518,15798,196,1,0.0,0
2201,格斗小霸王,30256,1719,253,4,1,0.0,0
2202,虫孽,64773,7782,7108,81,1,0.0,0
2204,超级酷乐猫,625643,39184,44838,802,1,0.0,0
2205,迷糊女战士,57444,3997,6414,112,1,0.0,0
2206,此时此刻的我,105640,15651,9521,229,1,0.0,0
2207,地球防卫企业,38505,2578,3905,48,1,0.0,0
2208,无限的未知,224838,26960,13712,281,1,0.0,0
2210,仙界传 封神演义,14313,14612,76,23,1,0.0,0
2211,机兽新世纪ZOIDS,73302,2193,1159,36,1,0.0,0
2212,机兽新世纪ZOIDS,110313,5611,3868,53,1,0.0,0
2213,A.D.特警,8102,2996,35,22,1,0.0,0
2215,快感指令,360632,33167,11875,105,1,0.0,0
2216,进化战记,82167,8636,1258,39,1,0.0,0
2217,平行世界物语,105723,9219,6037,67,1,0.0,0
2220,日本第一男人之魂,121001,7272,2192,46,1,0.0,0
2221,弹珠警察,208856,21667,3875,115,1,0.0,0
2222,微星小超人,47454,2080,552,18,1,0.0,0
2223,火魅子传,46401,8049,764,31,1,0.0,0
2224,THE BIG O,103116,6459,8131,188,1,0.0,0
2225,宇宙战舰山本洋子,9123,3821,130,56,1,0.0,0
2226,宇宙战舰山本洋子,20927,726,101,11,1,0.0,0
2236,神风怪盗贞德,541769,54027,33735,343,1,0.0,0
2237,伊甸少年,20046,2684,2,7,1,0.0,0
2238,麻辣教师GTO,1726991,53970,110959,2247,1,9.7,357
2241,如果在梦里遇见你,0,3874,0,0,1,0.0,0
2243,快杰蒸汽侦探团,9933,1373,64,2,1,0.0,0
2244,守护月天,91703,11020,1496,81,1,0.0,0
2245,波波罗古洛伊斯物语,13180,2155,264,10,1,0.0,0
2247,饿沙罗鬼,121940,13982,1719,79,1,0.0,0
2249,危险调查员,72930,10840,4375,117,1,0.0,0
2250,影技,45521,5217,1068,29,1,0.0,0
2251,玲音,273947,58668,19160,735,1,9.2,222
2252,女棒甲子园,16649,2635,434,22,1,0.0,0
2253,南海奇皇,50904,5427,788,26,1,0.0,0
2254,失落的宇宙,267784,14812,21722,580,1,0.0,0
2255,魔法阵都市,70328,4648,975,33,1,0.0,0
2257,青涩宝贝,50060,7793,406,27,1,0.0,0
2258,婆娑罗,90372,15033,5272,72,1,0.0,0
2260,梦幻拉拉,50963,4754,1765,45,1,0.0,0
2261,星际牛仔,324208,162345,41995,1235,1,9.8,2492
2264,弹珠人爆外传,96748,8725,1649,35,1,0.0,0
2265,万能文化猫娘 TV,23004,3852,728,9,1,0.0,0
2266,万能文化猫娘 OVA,12305,821,133,8,1,0.0,0
2267,星方武侠,43843,4914,907,39,1,0.0,0
2268,魔术士奥芬,81767,5697,4567,69,1,0.0,0
2269,魔术士奥芬 -Revenge-,0,1761,0,0,1,0.0,0
2270,魔卡少女樱 香港之旅,64516,134971,3198,3539,1,9.5,395
2271,四驱兄弟（中文）,290543,38805,12115,407,1,0.0,0
2272,四驱兄弟WGP（中文）,263877,13738,8731,243,1,0.0,0
2275,EAT-MAN,157319,22649,1561,41,1,0.0,0
2277,少女革命,464079,44373,59651,741,1,9.7,217
2278,甜心战士F,60574,3868,932,26,1,0.0,0
2280,灵异猎人,41194,4737,653,22,1,0.0,0
2281,CLAMP学园侦探团,95662,14472,4999,79,1,0.0,0
2283,烈火之炎,295438,25795,3782,69,1,0.0,0
2284,NEXT战记EHRGEIZ,13716,1849,56,1,1,0.0,0
2285,大运动会,48113,3785,3037,54,1,0.0,0
2286,BURN-UP SCRAMBLE,50494,8492,646,19,1,0.0,0
2287,BURN-UP W,14642,1319,165,6,1,0.0,0
2290,樱花大战 TV版,72560,24492,3123,43,1,0.0,0
2291,樱花大战 OVA1 樱华绚烂,235641,4623,18551,333,1,0.0,0
2293,机动战舰大和抚子 TV版,300378,13656,17935,383,1,0.0,0
2294,奥运高手,44613,1982,1405,24,1,0.0,0
2296,佐罗的传说,71440,5215,7686,103,1,0.0,0
2297,钢铁神兵B'T-X,140533,12477,5370,196,1,0.0,0
2298,VS骑士弹珠汽水&40炎,19809,1387,627,13,1,0.0,0
2299,乌龙派出所,5090997,28783,114899,3107,1,9.7,302
2300,天空之艾斯嘉科尼,70655,7172,4665,56,1,0.0,0
2301,勇者指令,98945,7454,1441,29,1,0.0,0
2302,勇者指令 OVA,11255,931,120,7,1,0.0,0
2303,浪客剑心,2947431,167274,186168,2994,1,9.5,325
2304,YAT安心！宇宙旅行,22356,1480,206,13,1,0.0,0
2306,玩偶游戏,489772,26568,46565,479,1,0.0,0
2307,海尔兄弟,920759,23866,124137,1656,1,9.7,125
2308,街头霸王2 V,109438,5336,2832,32,1,0.0,0
2310,街头霸王 剧场版,64672,1984,1779,54,1,0.0,0
2311,十二生肖守护神,177984,9037,16538,174,1,0.0,0
2312,宇宙小毛球,59055,2699,1303,35,1,0.0,0
2313,神秘的世界EL-HAZARD,72155,6100,1970,41,1,0.0,0
2314,爆走猎人,150123,19654,2870,75,1,0.0,0
2315,近所物语,230243,25806,13077,165,1,0.0,0
2316,H2 好逑双物语,81946,6021,3154,95,1,0.0,0
